symbol,name,atomic_number,category,description,application,fact,wiki_link
H,Водород,1,Неметалл,Самый лёгкий элемент,Используется в топливных элементах и производстве аммиака,Водород самый распространённый элемент во Вселенной.,https://ru.wikipedia.org/wiki/Водород
He,Гелий,2,Благородный газ,Благородный газ без цвета и запаха,Используется в баллонах для дайвинга и в воздушных шарах,Гелий — второй по распространённости элемент во Вселенной.,https://ru.wikipedia.org/wiki/Гелий
Li,Литий,3,Щелочной металл,Мягкий серебристый металл,Используется в аккумуляторах и в лекарствах от биполярного расстройства,Литий используется в термоядерных реакциях.,https://ru.wikipedia.org/wiki/Литий
Be,Бериллий,4,Щелочноземельный металл,Жёсткий лёгкий металл,Используется в авиационно-космической промышленности и рентгеновских окнах,Бериллий имеет высокую точку плавления для лёгких металлов.,https://ru.wikipedia.org/wiki/Бериллий
B,Бор,5,Полуметалл,Полуметалл с высокой температурой плавления,Используется в производстве стекла и полупроводников,Бор значительно усиливает прочность стекла.,https://ru.wikipedia.org/wiki/Бор
C,Углерод,6,Неметалл,Основной элемент органической химии,"Используется в производстве пластмасс, топлив и смазочных материалов",Аллотропы углерода включают алмазы и графит.,https://ru.wikipedia.org/wiki/Углерод
N,Азот,7,Неметалл,"Бесцветный газ, составляющий большую часть атмосферы",Используется в удобрениях и производстве аммиака,Азот составляет около 78% атмосферы Земли.,https://ru.wikipedia.org/wiki/Азот
O,Кислород,8,Неметалл,Необходим для дыхания и горения,Используется в медицине и металлургии,Кислород — третий по распространённости элемент во Вселенной.,https://ru.wikipedia.org/wiki/Кислород
F,Фтор,9,Галоген,Очень реактивный неметалл,Используется в зубной пасте и хладагентах,Фтор — самый электроотрицательный элемент.,https://ru.wikipedia.org/wiki/Фтор
Ne,Неон,10,Благородный газ,Бесцветный благородный газ,Используется в неоновых лампах и рекламных вывесках,Неон излучает ярко-красный свет в газоразрядных лампах.,https://ru.wikipedia.org/wiki/Неон
Na,Натрий,11,Щелочной металл,Мягкий серебристый металл,Используется в производстве стекла и натрий-ионных аккумуляторов,"Натрий активно реагирует с водой, образуя щёлочь.",https://ru.wikipedia.org/wiki/Натрий
Mg,Магний,12,Щелочноземельный металл,Лёгкий металл с серебристым блеском,Используется в сплавах для лёгких конструкций и в пиротехнике,Магний горит ярким белым пламенем.,https://ru.wikipedia.org/wiki/Магний
Al,Алюминий,13,Переходный металл,Лёгкий и устойчивый к коррозии металл,"Широко используется в авиации, строительстве и упаковке",Алюминий является третьим по распространённости элементом в земной коре.,https://ru.wikipedia.org/wiki/Алюминий
Si,Кремний,14,Полуметалл,Полуметалл с высоким содержанием в земной коре,"Используется в производстве полупроводников, солнечных панелей и стекла",Кремний является основой для производства микрочипов.,https://ru.wikipedia.org/wiki/Кремний
P,Фосфор,15,Неметалл,"Реактивный неметалл, встречается в нескольких аллотропах","Используется в удобрениях, взрывчатых веществах и спичках",Белый фосфор самовоспламеняется при контакте с воздухом.,https://ru.wikipedia.org/wiki/Фосфор
S,Сера,16,Неметалл,Жёлтый неметалл с характерным запахом,"Используется в производстве серной кислоты, вулканизации резины и спичек",Сера необходима для жизни всех известных организмов.,https://ru.wikipedia.org/wiki/Сера
Cl,Хлор,17,Галоген,Жёлто-зелёный газ с резким запахом,"Используется в дезинфекции воды, отбеливании и производстве ПВХ",Хлор был использован как боевое отравляющее вещество в Первой мировой войне.,https://ru.wikipedia.org/wiki/Хлор
Ar,Аргон,18,Благородный газ,Инертный бесцветный газ,Используется в осветительных приборах и сварочных процессах,Аргон составляет около 1% атмосферы Земли.,https://ru.wikipedia.org/wiki/Аргон
K,Калий,19,Щелочной металл,"Мягкий щелочной металл, активно реагирует с водой",Используется в удобрениях и в медицинских препаратах,Калий необходим для работы клеток всех живых организмов.,https://ru.wikipedia.org/wiki/Калий
Ca,Кальций,20,Щелочноземельный металл,Мягкий щелочноземельный металл,"Используется в производстве цемента, стекла и как компонент в костях и зубах",Кальций является пятым по распространённости элементом в земной коре.,https://ru.wikipedia.org/wiki/Кальций
Sc,Скандий,21,Переходный металл,Мягкий серебристо-белый металл,Используется в авиации и спортивных товарах,"Скандий был впервые обнаружен в Швеции, и его название происходит от латинского наименования Скандинавии.",https://ru.wikipedia.org/wiki/Скандий
Ti,Титан,22,Переходный металл,"Лёгкий, прочный металл с высокой стойкостью к коррозии",Используется в авиационно-космической промышленности и медицине,Титан не ржавеет в морской воде.,https://ru.wikipedia.org/wiki/Титан
V,Ванадий,23,Переходный металл,Мягкий серебристый металл,Используется в производстве стали для улучшения её прочности,Ванадий применяется для создания прочных сплавов для реактивных двигателей.,https://ru.wikipedia.org/wiki/Ванадий
Cr,Хром,24,Переходный металл,Жёсткий и хрупкий металл с серебристым блеском,Используется для покрытия стали для защиты от коррозии и декоративной отделки,"Хром образует прочное покрытие, устойчивое к коррозии.",https://ru.wikipedia.org/wiki/Хром
Mn,Марганец,25,Переходный металл,"Твёрдый, хрупкий металл",Используется в сплавах для производства стали и в химических процессах,Марганец улучшает прочность и твёрдость стали.,https://ru.wikipedia.org/wiki/Марганец
Fe,Железо,26,Переходный металл,Твёрдый металл с высокой прочностью,"Широко используется в строительстве, производстве машин и бытовой технике",Железо является основным элементом земного ядра.,https://ru.wikipedia.org/wiki/Железо
Co,Кобальт,27,Переходный металл,Твёрдый серебристый металл,Используется в аккумуляторах и сплавах с высокой устойчивостью к коррозии,Кобальт используется в производстве литий-ионных аккумуляторов.,https://ru.wikipedia.org/wiki/Кобальт
Ni,Никель,28,Переходный металл,Серебристый металл с высокой устойчивостью к коррозии,"Используется в монетах, нержавеющей стали и аккумуляторах",Никель добавляется в сталь для повышения её коррозионной стойкости.,https://ru.wikipedia.org/wiki/Никель
Cu,Медь,29,Переходный металл,Красноватый металл с высокой теплопроводностью,Используется в электрических проводах и трубах,Медь широко используется в электротехнике благодаря своей отличной проводимости.,https://ru.wikipedia.org/wiki/Медь
Zn,Цинк,30,Переходный металл,"Блестящий металл, устойчивый к коррозии",Используется для гальванизации стали и в сплавах,Цинк используется для покрытия железа для защиты от ржавчины.,https://ru.wikipedia.org/wiki/Цинк
Ga,Галлий,31,Постпереходный металл,"Мягкий металл, который плавится в руках",Используется в полупроводниках и светодиодах,"Галлий тает при температуре около 30°C, что позволяет плавить его в руках.",https://ru.wikipedia.org/wiki/Галлий
Ge,Германий,32,Полуметалл,Твёрдый сероватый полуметалл,Используется в производстве оптоволокон и полупроводников,Германий применяется в оптических системах и волоконной связи.,https://ru.wikipedia.org/wiki/Германий
As,Мышьяк,33,Полуметалл,Токсичный полуметалл,Используется в производстве полупроводников и инсектицидов,Мышьяк известен своей токсичностью и использовался как яд в истории.,https://ru.wikipedia.org/wiki/Мышьяк
Se,Селен,34,Полуметалл,Полуметалл с высокой фоточувствительностью,Используется в солнечных панелях и фотокопировальных машинах,Селен используется в производстве солнечных батарей благодаря его фоточувствительным свойствам.,https://ru.wikipedia.org/wiki/Селен
Br,Бром,35,Галоген,Красно-бурый жидкий элемент,Используется в производстве огнезащитных материалов,"Бром — один из немногих элементов, которые находятся в жидком состоянии при комнатной температуре.",https://ru.wikipedia.org/wiki/Бром
Nb,Ниобий,41,Переходный металл,Серебристо-серый металл,Используется в производстве сверхпроводников и стали,Ниобий добавляется в сталь для повышения её устойчивости к коррозии.,https://ru.wikipedia.org/wiki/Ниобий
Mo,Молибден,42,Переходный металл,Твёрдый металл с высокой температурой плавления,Используется в стали и сверхпрочных сплавах,Молибден используется в высокотемпературных печах благодаря его высокой точке плавления.,https://ru.wikipedia.org/wiki/Молибден
Tc,Технеций,43,Переходный металл,Искусственно созданный радиоактивный элемент,Используется в ядерной медицине,Технеций был первым искусственно созданным элементом.,https://ru.wikipedia.org/wiki/Технеций
Ru,Рутений,44,Переходный металл,"Редкий, твёрдый металл",Используется в электронике и катализаторах,Рутений используется в платиновых сплавах для улучшения их прочности.,https://ru.wikipedia.org/wiki/Рутений
Rh,Родий,45,Переходный металл,"Редкий, серебристый, стойкий к коррозии металл",Используется в автомобильных каталитических нейтрализаторах,Родий является одним из самых дорогих металлов на Земле.,https://ru.wikipedia.org/wiki/Родий
Pd,Палладий,46,Переходный металл,Блестящий серебристый металл,Используется в ювелирных изделиях и каталитических нейтрализаторах,Палладий активно используется в автомобилестроении для очистки выхлопных газов.,https://ru.wikipedia.org/wiki/Палладий
Ag,Серебро,47,Переходный металл,Мягкий блестящий металл,"Используется в ювелирных изделиях, монетах и электронике",Серебро обладает наилучшей электропроводностью среди всех металлов.,https://ru.wikipedia.org/wiki/Серебро
Cd,Кадмий,48,Переходный металл,"Мягкий, легко плавящийся металл",Используется в аккумуляторах и пигментах,Кадмий токсичен и часто используется в никель-кадмиевых аккумуляторах.,https://ru.wikipedia.org/wiki/Кадмий
In,Индий,49,Постпереходный металл,"Мягкий, блестящий металл",Используется в сенсорных экранах и полупроводниках,Индий используется в сенсорных дисплеях благодаря своей прозрачности и проводимости.,https://ru.wikipedia.org/wiki/Индий
Sn,Олово,50,Постпереходный металл,Мягкий металл серебристого цвета,Используется в производстве паяльных материалов и консервных банок,"Олово широко используется для покрытия других металлов, предотвращая коррозию.",https://ru.wikipedia.org/wiki/Олово
Sb,Сурьма,51,Полуметалл,Серебристый блестящий полуметалл,Используется в огнезащитных материалах и полупроводниках,Сурьма известна своей огнестойкостью и используется в антипиренах.,https://ru.wikipedia.org/wiki/Сурьма
Te,Теллур,52,Полуметалл,Хрупкий полуметалл серебристого цвета,Используется в солнечных батареях и полупроводниках,Теллур используется в фотоэлектрических панелях для преобразования солнечного света в энергию.,https://ru.wikipedia.org/wiki/Теллур
I,Йод,53,Галоген,Фиолетовый чёрный кристаллический элемент,Используется в медицинских антисептиках и фотографии,Йод необходим для производства гормонов щитовидной железы.,https://ru.wikipedia.org/wiki/Йод
Xe,Ксенон,54,Благородный газ,Редкий инертный газ,Используется в осветительных лампах и анестезии,Ксенон используется в автомобильных фарах высокой яркости.,https://ru.wikipedia.org/wiki/Ксенон
Cs,Цезий,55,Щелочной металл,"Мягкий, легко плавящийся металл",Используется в атомных часах и бурении,Цезий — один из самых электроотрицательных и реактивных элементов.,https://ru.wikipedia.org/wiki/Цезий
Ba,Барий,56,Щелочноземельный металл,Мягкий серебристо-белый металл,Используется в медицинских исследованиях и фейерверках,Сульфат бария используется в медицинских рентгенологических исследованиях.,https://ru.wikipedia.org/wiki/Барий
La,Лантан,57,Лантаноид,"Мягкий, серебристо-белый металл",Используется в оптических линзах и катализаторах,Лантан — первый элемент в ряду лантаноидов.,https://ru.wikipedia.org/wiki/Лантан
Ce,Церий,58,Лантаноид,Редкоземельный металл серебристого цвета,Используется в стекле и катализаторах,Церий является основным компонентом в производстве каталитических нейтрализаторов.,https://ru.wikipedia.org/wiki/Церий
Pr,Празеодим,59,Лантаноид,Редкоземельный металл серебристого цвета,Используется в авиационных сплавах и магнетах,Празеодим используется для придания стеклу и эмалям жёлто-зелёного цвета.,https://ru.wikipedia.org/wiki/Празеодим
Nd,Неодим,60,Лантаноид,Редкоземельный металл серебристого цвета,Используется в мощных магнитах и лазерах,Неодимовые магниты являются одними из самых мощных постоянных магнитов.,https://ru.wikipedia.org/wiki/Неодим
Pm,Прометий,61,Лантаноид,"Радиоактивный металл, встречается в природе в крайне малых количествах",Используется в атомных батареях,"Прометий — один из двух элементов таблицы Менделеева, не имеющий стабильных изотопов.",https://ru.wikipedia.org/wiki/Прометий
Sm,Самарий,62,Лантаноид,Редкоземельный металл серебристого цвета,Используется в магнетах и ядерных реакторах,Самарий используется в углеродных дуговых лампах для кинематографических прожекторов.,https://ru.wikipedia.org/wiki/Самарий
Eu,Европий,63,Лантаноид,"Мягкий, редкоземельный металл серебристого цвета",Используется в люминофорах для экранов телевизоров,Европий используется для создания красных цветов в телевизорах и мониторах.,https://ru.wikipedia.org/wiki/Европий
Gd,Гадолиний,64,Лантаноид,Редкоземельный металл серебристого цвета,Используется в МРТ и ядерных реакторах,Гадолиний обладает высокими магнитными свойствами при комнатной температуре.,https://ru.wikipedia.org/wiki/Гадолиний
Tb,Тербий,65,Лантаноид,Редкоземельный металл серебристого цвета,Используется в телевизионных люминофорах и магнитострикционных материалах,Тербий используется в сплавах для магнитострикционных устройств.,https://ru.wikipedia.org/wiki/Тербий
Dy,Диспрозий,66,Лантаноид,Редкоземельный металл серебристого цвета,Используется в магнетах и ядерных реакторах,"Диспрозий используется в сплавах для магнитов, которые работают при высоких температурах.",https://ru.wikipedia.org/wiki/Диспрозий
Ho,Гольмий,67,Лантаноид,Редкоземельный металл серебристого цвета,Используется в ядерных реакторах и магнетах,Гольмий обладает самыми высокими магнитными моментами среди всех элементов.,https://ru.wikipedia.org/wiki/Гольмий
Er,Эрбий,68,Лантаноид,Редкоземельный металл серебристого цвета,Используется в оптоволокне и ядерных реакторах,Эрбий используется для усиления сигналов в волоконно-оптических линиях связи.,https://ru.wikipedia.org/wiki/Эрбий
Tm,Тулий,69,Лантаноид,Редкоземельный металл серебристого цвета,Используется в рентгеновских аппаратах и лазерах,Тулий — один из самых редких элементов группы лантаноидов.,https://ru.wikipedia.org/wiki/Тулий
Yb,Иттербий,70,Лантаноид,Редкоземельный металл серебристого цвета,Используется в химических исследованиях и в некоторых сплавах,Иттербий используется для улучшения гранулированных материалов в некоторых металлах.,https://ru.wikipedia.org/wiki/Иттербий
Lu,Лютеций,71,Лантаноид,Редкоземельный металл серебристого цвета,Используется в нефтяной промышленности и датчиках,Лютеций является самым тяжёлым и плотным среди всех лантаноидов.,https://ru.wikipedia.org/wiki/Лютеций
Hf,Гафний,72,Переходный металл,Серебристо-серый металл,Используется в ядерных реакторах и в полупроводниках,"Гафний имеет высокую поглощающую способность к нейтронам, что делает его полезным в ядерных реакторах.",https://ru.wikipedia.org/wiki/Гафний
Ta,Тантал,73,Переходный металл,"Редкий, твёрдый металл с высокой устойчивостью к коррозии",Используется в электронике и медицинских имплантатах,Тантал имеет одну из самых высоких точек плавления среди металлов.,https://ru.wikipedia.org/wiki/Тантал
W,Вольфрам,74,Переходный металл,"Очень твёрдый, тугоплавкий металл",Используется в лампочках и военной технике,Вольфрам имеет самую высокую точку плавления среди всех известных элементов.,https://ru.wikipedia.org/wiki/Вольфрам
Re,Рений,75,Переходный металл,"Редкий, тяжёлый металл",Используется в производстве сверхзвуковых двигателей и термопар,Рений используется в реактивных двигателях благодаря его высокой температурной стойкости.,https://ru.wikipedia.org/wiki/Рений
Os,Осмий,76,Переходный металл,"Тяжёлый, твёрдый металл",Используется в электронике и химической промышленности,Осмий — самый плотный элемент из известных.,https://ru.wikipedia.org/wiki/Осмий
Ir,Иридий,77,Переходный металл,"Редкий, твёрдый металл с высокой устойчивостью к коррозии",Используется в термопарах и электрических контактах,Иридий — один из самых устойчивых к коррозии элементов.,https://ru.wikipedia.org/wiki/Иридий
Pt,Платина,78,Переходный металл,"Мягкий, редкий металл серебристо-белого цвета",Используется в ювелирных изделиях и автомобильных катализаторах,Платина устойчива к коррозии и широко используется в качестве катализатора.,https://ru.wikipedia.org/wiki/Платина
Au,Золото,79,Переходный металл,"Мягкий, жёлтый металл","Используется в ювелирных изделиях, электронике и монетах",Золото является одним из самых ценных и химически инертных металлов.,https://ru.wikipedia.org/wiki/Золото
Hg,Ртуть,80,Переходный металл,Тяжёлый серебристый жидкий металл,"Используется в термометрах, барометрах и осветительных приборах","Ртуть — единственный металл, который находится в жидком состоянии при комнатной температуре.",https://ru.wikipedia.org/wiki/Ртуть
Tl,Таллий,81,Постпереходный металл,"Мягкий, токсичный металл",Используется в инфракрасных оптических системах,Таллий является чрезвычайно токсичным и использовался в качестве яда.,https://ru.wikipedia.org/wiki/Таллий
Pb,Свинец,82,Постпереходный металл,"Тяжёлый, мягкий металл","Используется в аккумуляторах, радиационной защите и припоях",Свинец обладает отличной способностью поглощать радиацию.,https://ru.wikipedia.org/wiki/Свинец
Bi,Висмут,83,Постпереходный металл,Хрупкий металл серебристо-белого цвета,Используется в медицинских и косметических продуктах,Висмут является нетоксичной альтернативой свинцу.,https://ru.wikipedia.org/wiki/Висмут
Po,Полоний,84,Металлоид,Радиоактивный металл,Используется в ядерных батареях и как источник нейтронов,Полоний был открыт Марией Кюри в 1898 году.,https://ru.wikipedia.org/wiki/Полоний
At,Астат,85,Галоген,Редкий радиоактивный элемент,Имеет ограниченное применение в медицине,Астат является одним из самых редких элементов на Земле.,https://ru.wikipedia.org/wiki/Астат
Rn,Радон,86,Благородный газ,Радиоактивный благородный газ,Используется в радиотерапии,Радон является одним из самых плотных газов.,https://ru.wikipedia.org/wiki/Радон
Fr,Франций,87,Щелочной металл,Крайне радиоактивный металл,Практическое применение ограничено из-за его редкости и радиоактивности,Франций — один из самых редких элементов в земной коре.,https://ru.wikipedia.org/wiki/Франций
Ra,Радий,88,Щелочноземельный металл,Радиоактивный металл,Использовался в светящихся красках и радиотерапии,Радий был открыт Марией и Пьером Кюри в 1898 году.,https://ru.wikipedia.org/wiki/Радий
Ac,Актиний,89,Актиноид,Радиоактивный металл,Используется в радиотерапии,Актиний был первым открытым актиноидом.,https://ru.wikipedia.org/wiki/Актиний
Th,Торий,90,Актиноид,Радиоактивный металл,Используется в ядерных реакторах,Торий рассматривается как потенциальное топливо для ядерных реакторов.,https://ru.wikipedia.org/wiki/Торий
Pa,Протактиний,91,Актиноид,Редкий радиоактивный металл,Используется в ядерных исследованиях,Протактиний является одним из самых редких и дорогих элементов.,https://ru.wikipedia.org/wiki/Протактиний
U,Уран,92,Актиноид,Тяжёлый радиоактивный металл,Используется как топливо в ядерных реакторах,"Уран — самый тяжёлый элемент, который встречается в природе в значительных количествах.",https://ru.wikipedia.org/wiki/Уран
Np,Нептуний,93,Актиноид,Искусственно созданный радиоактивный металл,Используется в ядерных исследованиях,Нептуний назван в честь планеты Нептун.,https://ru.wikipedia.org/wiki/Нептуний
Pu,Плутоний,94,Актиноид,Радиоактивный металл,Используется как топливо в ядерных реакторах и ядерном оружии,Плутоний используется в космических аппаратах как источник энергии.,https://ru.wikipedia.org/wiki/Плутоний
Am,Америций,95,Актиноид,Радиоактивный металл,Используется в дымовых детекторах,Америций был открыт в 1944 году во время исследования продуктов деления урана.,https://ru.wikipedia.org/wiki/Америций
Cm,Кюрий,96,Актиноид,Радиоактивный металл,Используется в космических исследованиях как источник тепла,Кюрий был назван в честь Марии и Пьера Кюри.,https://ru.wikipedia.org/wiki/Кюрий
Bk,Берклий,97,Актиноид,Радиоактивный металл,Используется в научных исследованиях,Берклий был открыт в 1949 году в Калифорнийском университете.,https://ru.wikipedia.org/wiki/Берклий
Cf,Калифорний,98,Актиноид,Радиоактивный металл,Используется для старта ядерных реакций,Калифорний назван в честь штата Калифорния и был открыт в 1950 году.,https://ru.wikipedia.org/wiki/Калифорний
Es,Эйнштейний,99,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Эйнштейний был назван в честь Альберта Эйнштейна.,https://ru.wikipedia.org/wiki/Эйнштейний
Fm,Фермий,100,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Фермий был открыт во время испытаний первой водородной бомбы в 1952 году.,https://ru.wikipedia.org/wiki/Фермий
Md,Менделевий,101,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Менделевий назван в честь Дмитрия Менделеева.,https://ru.wikipedia.org/wiki/Менделевий
No,Нобелий,102,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,Нобелий назван в честь Альфреда Нобеля.,https://ru.wikipedia.org/wiki/Нобелий
Lr,Лоуренсий,103,Актиноид,Радиоактивный металл,Используется только в научных исследованиях,"Лоуренсий назван в честь Эрнеста Лоуренса, создателя циклотронов.",https://ru.wikipedia.org/wiki/Лоуренсий
Rf,Резерфордий,104,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Резерфордий был открыт в 1964 году в Объединённом институте ядерных исследований.,https://ru.wikipedia.org/wiki/Резерфордий
Db,Дубний,105,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Дубний был назван в честь города Дубна, где он был открыт.",https://ru.wikipedia.org/wiki/Дубний
Sg,Сиборгий,106,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Сиборгий назван в честь химика Гленна Сиборга.,https://ru.wikipedia.org/wiki/Сиборгий
Bh,Борий,107,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Борий назван в честь датского физика Нильса Бора.,https://ru.wikipedia.org/wiki/Борий
Hs,Хассий,108,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Хассий был впервые синтезирован в 1984 году в лаборатории в Дармштадте, Германия.",https://ru.wikipedia.org/wiki/Хассий
Mt,Мейтнерий,109,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Мейтнерий назван в честь Лизы Мейтнер, одной из первооткрывателей ядерного деления.",https://ru.wikipedia.org/wiki/Мейтнерий
Ds,Дармштадтий,110,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Дармштадтий назван в честь немецкого города Дармштадт, где он был впервые синтезирован.",https://ru.wikipedia.org/wiki/Дармштадтий
Rg,Рентгений,111,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Рентгений назван в честь немецкого физика Вильгельма Рентгена, первооткрывателя рентгеновских лучей.",https://ru.wikipedia.org/wiki/Рентгений
Cn,Коперниций,112,Переходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Коперниций назван в честь астронома Николая Коперника.,https://ru.wikipedia.org/wiki/Коперниций
Nh,Нихоний,113,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Нихоний был назван в честь Японии (Nihon означает ""Япония"" на японском языке).",https://ru.wikipedia.org/wiki/Нихоний
Fl,Флеровий,114,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Флеровий назван в честь российского физика Георгия Флерова.,https://ru.wikipedia.org/wiki/Флеровий
Mc,Московий,115,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Московий назван в честь Московской области, где был синтезирован.",https://ru.wikipedia.org/wiki/Московий
Lv,Ливерморий,116,Постпереходный металл,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Ливерморий назван в честь Национальной лаборатории Лоуренса в Ливерморе, США.",https://ru.wikipedia.org/wiki/Ливерморий
Ts,Теннессин,117,Галоген,Синтетический радиоактивный элемент,Используется только в научных исследованиях,"Теннессин назван в честь штата Теннесси, США.",https://ru.wikipedia.org/wiki/Теннессин
Og,Оганесон,118,Благородный газ,Синтетический радиоактивный элемент,Используется только в научных исследованиях,Оганесон назван в честь российского учёного Юрия Оганесяна.,https://ru.wikipedia.org/wiki/Оганесон
